BHK,project,Location,City,Total sqft,price_sqft,price
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
2 BHK Apartment,Patel PrayoshaAmbernath West,Ambernath West,Mumbai,1000,"4,000",40 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
4 BHK Apartment,PR Urvashi TerracesSantacruz West,Santacruz West,Mumbai,2000,"60,000",12 Cr
1 RK Studio Apartment,GHP Powai Vihar ComplexPowai,Powai,Mumbai,310,"24,193",75 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1,NA,Kalyan West,Mumbai,650,"6,307",41 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1600,"1,250",20 L
2 BHK Apartment,Piramal Aranya Arav TowerByculla,Byculla,Mumbai,1400,"35,714",5 Cr
4 BHK Apartment,Kalpataru SolitaireJuhu,Juhu,Mumbai,2400,"79,166",19 Cr
1,NA,Dombivli (West),Mumbai,545,"5,596",30.5 L
2 BHK Apartment,Man OpusMira Road East,Mira Road East,Mumbai,1020,"8,333",85 L
2 BHK Apartment,Lodha AquaMira Road East,Mira Road East,Mumbai,1020,"11,372",1.16 Cr
2 BHK Apartment,Man OpusMira Road East,Mira Road East,Mumbai,1070,"8,878",95 L
2 BHK Apartment,Man OpusMira Road East,Mira Road East,Mumbai,1020,"9,411",96 L
1 BHK Apartment,Man OpusMira Road East,Mira Road East,Mumbai,680,"9,558",65 L
2 BHK Apartment,Lodha AquaMira Road East,Mira Road East,Mumbai,1020,"11,274",1.15 Cr
2 BHK Apartment,Man OpusMira Road East,Mira Road East,Mumbai,1070,"8,317",89 L
2 BHK Apartment,Man OpusMira Road East,Mira Road East,Mumbai,1070,"8,878",95 L
2 BHK Apartment,Man OpusMira Road East,Mira Road East,Mumbai,1050,"8,571",90 L
2 BHK Apartment,Fairmont PalazzoSantacruz East,Santacruz East,Mumbai,900,"21,666",1.95 Cr
3,NA,Khar West,Mumbai,1200,"31,250",3.75 Cr
3 BHK Apartment,Maison TaranganThane West,Thane West,Mumbai,1350,"7,407",1 Cr
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,M Baria Bldg No 1 M Baria EverestVirar,Virar,Mumbai,510,"7,058",36 L
1,NA,Bhayandar West,Mumbai,760,"11,842",90 L
4,NA,Panvel,Mumbai,2500,"6,000",1.5 Cr
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
2,NA,Thakurli,Mumbai,965,"6,787",65.5 L
1 BHK Apartment,Shree Vinayak Vyom Complex A B C D WingDombivali,Dombivali,Mumbai,630,"5,396",34 L
2 BHK Apartment,Gurukrupa Marina Enclave Wings M N Phase IIMalad West,Malad West,Mumbai,900,"17,777",1.6 Cr
2,NA,Kandivali East,Mumbai,719,"26,008",1.87 Cr
1 BHK Apartment,Neeta Gulraj HeightsKurla,Kurla,Mumbai,780,"12,051",94 L
3,NA,Santacruz West,Mumbai,1400,"44,642",6.25 Cr
1,NA,Masjid Bandar,Mumbai,410,"17,073",69.99 L
2 BHK Apartment,GHP Woodland HeightsPowai,Powai,Mumbai,1050,"16,190",1.7 Cr
1,NA,Beturkar Pada,Mumbai,500,"4,090",20.45 L
2 BHK Apartment,Marathon Nexzone Atlas 2Panvel,Panvel,Mumbai,1024,"9,277",95 L
1 BHK Apartment,MDM ZionAndheri West,Andheri West,Mumbai,540,"23,333",1.26 Cr
2,NA,Panvel,Mumbai,1200,"7,916",95 L
1,NA,Dombivli (West),Mumbai,712,"6,000",42.72 L
2 BHK Apartment,Wadhwa SolitaireThane West,Thane West,Mumbai,665,"10,827",72 L
2,NA,Ghatkopar West,Mumbai,1000,"13,500",1.35 Cr
3 BHK Apartment,Platinum The SpringsKalamboli,Kalamboli,Mumbai,1975,"7,493",1.48 Cr
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Vakratunda PalaceBhandup West,Bhandup West,Mumbai,575,"16,869",97 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Omkar Nutan Omkar ViharBadlapur East,Badlapur East,Mumbai,640,"4,687",30 L
1 BHK Apartment,Omkar Nutan Omkar ViharBadlapur East,Badlapur East,Mumbai,640,"4,687",30 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Lakshadeep ResidencyKaranjade,Karanjade,Mumbai,600,"5,375",32.25 L
1,NA,Dombivali East,Mumbai,560,"8,928",50 L
1,NA,Thakurli,Mumbai,673,"7,726",52 L
2,NA,Panvel,Mumbai,850,"4,470",38 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1,NA,Kamothe,Mumbai,450,"6,888",31 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,650,"3,076",20 L
3 BHK Apartment,Shiv Darshan Shiv Darshan SocietyMulund West,Mulund West,Mumbai,880,"21,022",1.85 Cr
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
2,NA,Ghodbander,Mumbai,815,"9,815",80 L
1 BHK Apartment,Omkar Nutan Omkar ViharBadlapur East,Badlapur East,Mumbai,640,"4,687",30 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
2 BHK Apartment,Fia OrionPalghar,Palghar,Mumbai,860,"4,418",38 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
2,NA,Ghodbander,Mumbai,815,"9,815",80 L
1 BHK Apartment,Omkar Nutan Omkar ViharBadlapur East,Badlapur East,Mumbai,640,"4,687",30 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
2 BHK Apartment,Fia OrionPalghar,Palghar,Mumbai,860,"4,418",38 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
2 BHK Apartment,Swaraj Homes Mumbai Gruh Nirman CHSDadar West,Dadar West,Mumbai,3000,"6,666",2 Cr
3 BHK Apartment,Swaraj Homes Mumbai Gruh Nirman CHSDadar West,Dadar West,Mumbai,2000,"8,750",1.75 Cr
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Lakshadeep ResidencyKaranjade,Karanjade,Mumbai,600,"5,375",32.25 L
1,NA,Dombivali East,Mumbai,560,"8,928",50 L
1,NA,Thakurli,Mumbai,673,"7,726",52 L
2,NA,Panvel,Mumbai,850,"4,470",38 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1,NA,Andheri West,Mumbai,611,"16,366",1 Cr
2 BHK Apartment,Reputed Builder Anmol TerraceLtdKoper Khairane,Koper Khairane,Mumbai,840,"11,309",95 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
3 BHK Apartment,Reputed Builder EL-DoradoPrabhadevi,Prabhadevi,Mumbai,1925,"46,753",9 Cr
1,NA,Diva Gaon,Mumbai,590,"2,800",16.52 L
1,NA,Diva Gaon,Mumbai,350,"2,800",9.8 L
1,NA,Diva Gaon,Mumbai,350,"2,800",9.8 L
1,NA,Diva Gaon,Mumbai,430,"2,800",12.04 L
1,NA,Diva Gaon,Mumbai,590,"2,800",16.52 L
1,NA,Diva Gaon,Mumbai,430,"2,800",12.04 L
1,NA,Diva Gaon,Mumbai,510,"2,800",14.28 L
1,NA,Diva Gaon,Mumbai,590,"2,800",16.52 L
1,NA,Diva Gaon,Mumbai,350,"2,800",9.8 L
1,NA,Diva Gaon,Mumbai,350,"2,800",9.8 L
1,NA,Diva Gaon,Mumbai,465,"2,800",13.02 L
1,NA,Diva Gaon,Mumbai,430,"2,800",12.04 L
1,NA,Diva Gaon,Mumbai,350,"2,800",9.8 L
1,NA,Datiwali Gaon,Mumbai,465,"3,000",13.95 L
1,NA,Diva Gaon,Mumbai,465,"3,000",13.95 L
2 BHK Apartment,Reputed Builder Hari Om ValleyTitwala,Titwala,Mumbai,800,"4,000",32 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
2,NA,Kurla West,Mumbai,700,"23,571",1.65 Cr
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,650,"3,076",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1600,"1,250",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1600,"1,250",20 L
2 BHK Apartment,Space New Vrindavan SpacesAndheri East,Andheri East,Mumbai,650,"26,923",1.75 Cr
3 BHK Independent House,Rustomjee Adarsh RegencyMalad East,Malad East,Mumbai,1300,"22,692",2.95 Cr
1,NA,Diva Gaon,Mumbai,350,"2,800",9.8 L
3,NA,Thane West,Mumbai,1350,"7,407",1 Cr
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1600,"1,250",20 L
4,NA,Girgaon,Mumbai,2200,"17,954",3.95 Cr
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Neeta Gulraj HeightsKurla,Kurla,Mumbai,780,"12,051",94 L
3,NA,Santacruz West,Mumbai,1400,"44,642",6.25 Cr
1,NA,Masjid Bandar,Mumbai,410,"17,073",69.99 L
2 BHK Apartment,GHP Woodland HeightsPowai,Powai,Mumbai,1050,"16,190",1.7 Cr
1,NA,Beturkar Pada,Mumbai,500,"4,090",20.45 L
2 BHK Apartment,Marathon Nexzone Atlas 2Panvel,Panvel,Mumbai,1024,"9,277",95 L
1 BHK Apartment,MDM ZionAndheri West,Andheri West,Mumbai,540,"23,333",1.26 Cr
2,NA,Panvel,Mumbai,1200,"7,916",95 L
1,NA,Dombivli (West),Mumbai,712,"6,000",42.72 L
2 BHK Apartment,Wadhwa SolitaireThane West,Thane West,Mumbai,665,"10,827",72 L
2,NA,Ghatkopar West,Mumbai,1000,"13,500",1.35 Cr
3 BHK Apartment,Platinum The SpringsKalamboli,Kalamboli,Mumbai,1975,"7,493",1.48 Cr
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,M Baria Bldg No 1 M Baria EverestVirar,Virar,Mumbai,510,"7,058",36 L
1,NA,Bhayandar West,Mumbai,760,"11,842",90 L
4,NA,Panvel,Mumbai,2500,"6,000",1.5 Cr
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
2 BHK Apartment,Tata New HavenBoisar,Boisar,Mumbai,670,"4,179",28 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1600,"1,250",20 L
2 BHK Apartment,Reputed Builder Hari Om ValleyTitwala,Titwala,Mumbai,800,"4,000",32 L
1,NA,Kalyan West,Mumbai,650,"6,307",41 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1600,"1,250",20 L
1 BHK Apartment,Patel SignatureAmbernath East,Ambernath East,Mumbai,600,"4,000",24 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,650,"3,076",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1600,"1,250",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1600,"1,250",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,650,"3,076",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1600,"1,250",20 L
2 BHK Apartment,Swastik HeightsDombivali,Dombivali,Mumbai,1075,"4,744",51 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
2 BHK Apartment,Gurukrupa Primus ResidencesSantacruz East,Santacruz East,Mumbai,1150,"22,695",2.61 Cr
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1,NA,Ambernath East,Mumbai,593,"4,143",24.57 L
1 BHK Apartment,Laxmi Shankar Heights Phase 4Ambernath West,Ambernath West,Mumbai,665,"4,187",27.85 L
2,NA,Vishnu Nagar,Mumbai,1055,"5,700",60.13 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
2,NA,Badlapur East,Mumbai,1150,"5,391",62 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Labdhi LeelaUlwe,Ulwe,Mumbai,670,"7,388",49.5 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,650,"3,076",20 L
3,NA,Dadar East,Mumbai,1600,"36,875",5.9 Cr
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,650,"3,076",20 L
2 BHK Apartment,Fine Fountain PlazaDombivali,Dombivali,Mumbai,800,"4,687",37.5 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
2 BHK Apartment,Mahavir PlazaAiroli,Airoli,Mumbai,700,"2,000",14 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Chintamani Maple City Phase IBadlapur West,Badlapur West,Mumbai,640,"3,515",22.5 L
1,NA,Dombivli (West),Mumbai,545,"5,596",30.5 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
2 BHK Apartment,Reputed Builder Ever Shine ApartmentAndheri West,Andheri West,Mumbai,675,"6,962",47 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
1 BHK Apartment,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,651,"3,072",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
5 BHK Independent Floor,Reputed Builder Wild Wood Park 2Andheri West,Andheri West,Mumbai,1601,"1,249",20 L
